Cat_Name,Device,Group,Day,Order,Scale,Preference,Pref2,FIV
Honda,Ball,2,6,4,0,NA,,Neg
Honda,Human,2,1,4,1,NA,,Neg
Honda,Human,2,2,4,1,NA,,Neg
Honda,Human,2,3,3,1,NA,,Neg
Honda,Human,2,4,3,2,NA,,Neg
Honda,Human,2,5,2,1,NA,,Neg
Honda,Human,2,6,2,1,NA,,Neg
Honda,Scratching,2,1,5,,Box,2. Box,Neg
Honda,Scratching,2,2,5,,Box,2. Box,Neg
Honda,Scratching,2,3,5,,Box,2. Box,Neg
Honda,Scratching,2,4,5,,None,4. None,Neg
Honda,Scratching,2,5,5,,Box,2. Box,Neg
Honda,Scratching,2,6,5,,Box,2. Box,Neg
Isuzu,Brush,2,1,1,,Glove,2. Glovebrush,Pos
Isuzu,Brush,2,2,1,,Glove,2. Glovebrush,Pos
Isuzu,Brush,2,3,1,,Hair,1. Hairbrush,Pos
Isuzu,Brush,2,4,1,,Both,3. Both,Pos
Isuzu,Brush,2,5,1,,Hair,1. Hairbrush,Pos
Isuzu,Brush,2,6,1,,Glove,2. Glovebrush,Pos
Isuzu,Laser,2,1,2,2,NA,,Pos
Isuzu,Laser,2,2,2,2,NA,,Pos
Isuzu,Laser,2,3,4,1,NA,,Pos
Isuzu,Laser,2,4,4,1,NA,,Pos
Isuzu,Laser,2,5,3,1,NA,,Pos
Isuzu,Laser,2,6,3,0,NA,,Pos
Isuzu,Ball,2,1,3,1,NA,,Pos
Isuzu,Ball,2,2,3,1,NA,,Pos
Isuzu,Ball,2,3,2,0,NA,,Pos
Isuzu,Ball,2,4,2,0,NA,,Pos
Isuzu,Ball,2,5,4,0,NA,,Pos
Isuzu,Ball,2,6,4,0,NA,,Pos
Isuzu,Human,2,1,4,2,NA,,Pos
Isuzu,Human,2,2,4,2,NA,,Pos
Isuzu,Human,2,3,3,2,NA,,Pos
Isuzu,Human,2,4,3,2,NA,,Pos
Isuzu,Human,2,5,2,2,NA,,Pos
Isuzu,Human,2,6,2,2,NA,,Pos
Isuzu,Scratching,2,1,5,,Box,2. Box,Pos
Isuzu,Scratching,2,2,5,,Box,2. Box,Pos
Isuzu,Scratching,2,3,5,,Box,2. Box,Pos
Isuzu,Scratching,2,4,5,,None,4. None,Pos
Isuzu,Scratching,2,5,5,,None,4. None,Pos
Isuzu,Scratching,2,6,5,,Box,2. Box,Pos
Jaguar,Brush,3,1,1,,Both,3. Both,Neg
Jaguar,Brush,3,2,1,,Hair,1. Hairbrush,Neg
Jaguar,Brush,3,3,1,,Both,3. Both,Neg
Jaguar,Brush,3,4,1,,Glove,2. Glovebrush,Neg
Jaguar,Brush,3,5,1,,Glove,2. Glovebrush,Neg
Jaguar,Brush,3,6,1,,Glove,2. Glovebrush,Neg
Jaguar,Laser,3,1,4,2,NA,,Neg
Jaguar,Laser,3,2,3,2,NA,,Neg
Jaguar,Laser,3,3,3,2,NA,,Neg
Jaguar,Laser,3,4,3,2,NA,,Neg
Jaguar,Laser,3,5,4,2,NA,,Neg
Jaguar,Laser,3,6,2,2,NA,,Neg
Jaguar,Ball,3,1,2,2,NA,,Neg
Jaguar,Ball,3,2,4,2,NA,,Neg
Jaguar,Ball,3,3,4,2,NA,,Neg
Jaguar,Ball,3,4,4,2,NA,,Neg
Jaguar,Ball,3,5,2,2,NA,,Neg
Jaguar,Ball,3,6,3,2,NA,,Neg
Jaguar,Human,3,1,3,2,NA,,Neg
Jaguar,Human,3,2,2,1,NA,,Neg
Jaguar,Human,3,3,2,1,NA,,Neg
Jaguar,Human,3,4,2,2,NA,,Neg
Jaguar,Human,3,5,3,1,NA,,Neg
Jaguar,Human,3,6,4,1,NA,,Neg
Jaguar,Scratching,3,1,5,,None,4. None,Neg
Jaguar,Scratching,3,2,5,,None,4. None,Neg
Jaguar,Scratching,3,3,5,,None,4. None,Neg
Jaguar,Scratching,3,4,5,,None,4. None,Neg
Jaguar,Scratching,3,5,5,,None,4. None,Neg
Jaguar,Scratching,3,6,5,,Both,3. Both,Neg
Kia,Brush,2,1,1,,Both,3. Both,Pos
Kia,Brush,2,2,1,,Both,3. Both,Pos
Kia,Brush,2,3,1,,Glove,2. Glovebrush,Pos
Kia,Brush,2,4,1,,Glove,2. Glovebrush,Pos
Kia,Brush,2,5,1,,Both,3. Both,Pos
Kia,Brush,2,6,1,,Glove,2. Glovebrush,Pos
Kia,Laser,2,1,2,1,NA,,Pos
Kia,Laser,2,2,2,2,NA,,Pos
Kia,Laser,2,3,4,1,NA,,Pos
Kia,Laser,2,4,4,0,NA,,Pos
Kia,Laser,2,5,3,1,NA,,Pos
Kia,Laser,2,6,3,0,NA,,Pos
Kia,Ball,2,1,3,1,NA,,Pos
Kia,Ball,2,2,3,0,NA,,Pos
Kia,Ball,2,3,2,1,NA,,Pos
Kia,Ball,2,4,2,0,NA,,Pos
Kia,Ball,2,5,4,0,NA,,Pos
Kia,Ball,2,6,4,0,NA,,Pos
Kia,Human,2,1,4,1,NA,,Pos
Kia,Human,2,2,4,2,NA,,Pos
Kia,Human,2,3,3,2,NA,,Pos
Kia,Human,2,4,3,1,NA,,Pos
Kia,Human,2,5,2,1,NA,,Pos
Kia,Human,2,6,2,1,NA,,Pos
Kia,Scratching,2,1,5,,Box,2. Box,Pos
Kia,Scratching,2,2,5,,Box,2. Box,Pos
Kia,Scratching,2,3,5,,Box,2. Box,Pos
Kia,Scratching,2,4,5,,None,4. None,Pos
Kia,Scratching,2,5,5,,Box,2. Box,Pos
Kia,Scratching,2,6,5,,None,4. None,Pos
Mazda,Brush,2,1,1,,Glove,2. Glovebrush,Pos
Mazda,Brush,2,2,1,,Hair,1. Hairbrush,Pos
Mazda,Brush,2,3,1,,Hair,1. Hairbrush,Pos
Mazda,Brush,2,4,1,,Hair,1. Hairbrush,Pos
Mazda,Brush,2,5,1,,Both,3. Both,Pos
Mazda,Brush,2,6,1,,Both,3. Both,Pos
Mazda,Laser,2,1,2,2,NA,,Pos
